	title	courier_id	record_number	page_numbers
1291	Nüshu: from tears to sunshine	261279	261323	[(5, '5'), (47, '47')]
1292	Radio in pictures: a detour via Bamako	261279	261317	[(4, '4'), (27, '27')]
1293	A Road map to change the world	261279	261316	[(4, '4'), (24, '24')]
1294	Tawakkol Karman: Non-violence is the common denominator of all my actions	261279	261322	[(5, '5')]
1295	A Twenty-year partnership: three questions for Jean-Paul Agon	261279	261320	[(5, '5'), (38, '38')]
1296	The UNESCO Courier is 70! An inspiring read	261279	261326	[(5, '5'), (58, '58')]
1297	Universities and the democracy of the gullible	261279	261315	[(4, '4'), (21, '21')]
1298	When going to school is an act of faith	261279	261311	[(4, '4'), (11, '11')]
1299	Zeinab Badawi: My hyphenated identity is an advantage	261279	261318	[(5, '5')]
1300	Adam Michnik: the Sisyphus of democracy	123512	123474	[(3, '3')]
1301	Black Africa: ethnic hatred is not inevitable	123512	123478	[]
1302	The Burakumin, Japan's invisible outcasts	123512	123476	[]
1303	Can genetically modified organisms feed the world?	123512	123458	[(3, '3')]
1304	The Child in arms	123512	123469	[(3, '3'), (38, '38')]
1305	Converting the cannon fodder	123512	123470	[(3, '3')]
1306	Fortress Europe bids you welcome	123512	123467	[]
1307	India's hidden apartheid	123512	123465	[(28, '28')]
1308	Jerusalem utopia	123512	123457	[(3, '3'), (4, '4'), (6, '6'), (8, '8')]
1309	Learning Hebrew Ethiopian-style	123512	123460	[(3, '3'), (15, '15')]
1310	New Zealand: the right medicine	123512	123459	[(3, '3'), (13, '13')]
1311	Preserving the magic	123512	123471	[(3, '3'), (41, '41')]
1312	A Return to nature	123512	123468	[(16, '16')]
1313	The Rise and fall of the laboratory racist	123512	123463	[]
1314	Shadows in the big city	123512	123462	[(16, '16'), (18, '18')]
1315	Silence is the greater sin	123512	123461	[]
1316	Stuck at the gate of paradise	123512	123464	[]
1317	A Tangible debut	123512	123472	[(3, '3'), (43, '43')]
1318	Temptation-free television for children?	123512	123473	[(3, '3')]
1319	Trouble in the hospitable land	123512	123466	[(16, '16')]
1320	Address by His Holiness Pope John Paul II on the occasion of his visit to the Headquarters of the United Nations Educational, Scientific and Cultural Organization (UNESCO), 2 June 1980	074758	366755	[(44, '44')]
1321	Letters for a young nation	074758	41069	[(3, '3'), (27, '27')]
1322	Literacy: a right denied to 800 million	074758	41072	[(3, '3')]
1323	Literacy and the liberation of a people	074758	41067	[(3, '3'), (12, '12')]
1324	Nicaragua's nation-wide literacy campaign; an appeal by the Director-General of UNESCO	074758	41073	[(3, '3'), (10, '10')]
1325	The Reading habit	074758	41071	[(3, '3'), (34, '34'), (35, '35')]
1326	Secrets of the written code: mother tongues and access to literacy	074758	41068	[(3, '3')]
1327	UNRWA and UNESCO: a thirty-year partnership, a comprehensive education service for Palestine refugees	074758	41070	[(3, '3'), (31, '31')]
1328	Unwritten wisdom	074758	41074	[(3, '3'), (19, '19')]
1329	Adios to the snowy heights	189411	189470	[(2, '2'), (19, '19')]
1330	Building an effective and just climate agreement	189411	189465	[(2, '2'), (11, '11')]
1331	Coming to terms with climate change	189411	189464	[(2, '2'), (10, '10')]
1332	Double or quits on climate in Denmark	189411	189463	[(2, '2'), (8, '8')]
1333	For an ethical approach to climate change	189411	189472	[(3, '3')]
1334	Kenya: burning sun and dusty soil	189411	189469	[(2, '2'), (17, '17')]
1335	Record-breaking China	189411	189468	[(2, '2'), (15, '15')]
1336	Refugees of the future will be climate refugees	189411	189467	[(2, '2'), (14, '14')]
1337	Turn off the lights please!	189411	189462	[(2, '2'), (7, '7')]
1338	We must respond to climate change today	189411	189461	[(2, '2'), (4, '4')]
1339	Adoption: for love or money?	114969	114988	[(2, '2')]
1340	Bihar's lawless ways	114969	114970	[(2, '2')]
1341	Children's books come of age	114969	114989	[(2, '2')]
1342	A Convenient solution	114969	114985	[]
1343	Custom-built solutions for international disputes	114969	114987	[(2, '2')]
1344	Daring, caring and sharing	114969	114971	[(2, '2')]
1345	An Economic mirage?	114969	114986	[(31, '31')]
1346	Europe's welfare-to-work business	114969	114974	[(2, '2')]
1347	Farms in the city	114969	114973	[(2, '2'), (13, '13')]
1348	Hungary: under new management	114969	114981	[(2, '2')]
1349	India: Calcutta plugs its deficit	114969	114984	[(2, '2'), (28, '28')]
1350	James Tobin: reining in the markets	114969	114993	[(2, '2')]
1351	Mexico: the sweet smell of success	114969	114983	[(2, '2')]
1352	Montreal's netizen news-vendors	114969	114991	[(44, '44')]
1353	Munich's street magazine	114969	114992	[(2, '2'), (45, '45')]
1354	The Press takes to the street	114969	114990	[(2, '2')]
1355	A Rare and precious resource	114969	114976	[(2, '2')]
1356	South Africa: water for everyone	114969	114982	[(2, '2'), (26, '26')]
1357	Spanish youth outside in	114969	114975	[(2, '2'), (15, '15')]
1358	A Thirsty planet	114969	114977	[(2, '2'), (21, '21')]
1359	What price water?	114969	262562	[(2, '2'), (17, '17'), (19, '19'), (21, '21'), (23, '23'), (25, '25'), (27, '27'), (29, '29'), (31, '31'), (33, '33'), (35, '35')]
1360	Who pays the piper? Who calls the tune?	114969	114978	[(2, '2'), (22, '22')]
1361	The Zero option for waste	114969	114972	[(2, '2')]
1362	Adult education for tomorrow	109515	109313	[(3, '3'), (88, '88')]
1363	Albania's threatened heritage	109515	109304	[(3, '3')]
1364	Declaration by Federico Mayor: the human right to peace	109515	109300	[]
1365	The Divine faces of Teotihuacán	109515	109310	[(3, '3')]
1366	East Africa: silent partners	109515	109296	[]
1367	Forests: a breathing space for the planet	109515	109309	[(3, '3'), (80, '80')]
1368	Former USSR: from ideology to love	109515	109297	[(3, '3'), (13, '13')]
1369	Interview with Mstislav Rostropovich	109515	109322	[]
1370	Japan: breaking the stereotype	109515	109294	[(3, '3'), (6, '6')]
1371	Letters from Asia	109515	109321	[(3, '3'), (91, '91')]
1372	North America: mothers and daughters	109515	109298	[(3, '3'), (16, '16')]
1373	Sarajevo's battered soul	109515	109301	[(3, '3'), (76, '76')]
1374	Afghan heritage: time for exile?	122266	122276	[(16, '16'), (24, '24')]
1375	Africa: the radio scene tells all	122266	122287	[(3, '3')]
1376	Belgium's wake-up call	122266	122280	[(31, '31')]
1377	Blame the system	122266	122269	[(3, '3'), (10, '10')]
1378	Cooking in a crossfire	122266	122288	[(3, '3')]
1379	For that stolen Vermeer, follow the art squad	122266	122279	[]
1380	Getting into the other's shoes	122266	122286	[(43, '43')]
1381	The Getty's mea culpa	122266	122281	[(16, '16')]
1382	Healing on the playing field	122266	122267	[(3, '3')]
1383	Homecoming for the totem poles	122266	122278	[(16, '16')]
1384	Indiana Jones has no future	122266	122274	[(16, '16')]
1385	Karate-trained teachers lose a round	122266	122270	[]
1386	Lost in the smoke of time	122266	122272	[(3, '3'), (14, '14')]
1387	Mali: when farmers become curators	122266	122277	[]
1388	The Proud descendants of the Lord of Sipán	122266	122282	[(16, '16')]
1389	Putting embryos on the assembly line	122266	122284	[(1, '1'), (3, '3'), (38, '38')]
1390	Saving the planet: imperialism in a green garb?	122266	122285	[(3, '3'), (41, '41'), (43, '43')]
1391	A Skewed battle	122266	122273	[]
1392	South Africa: beyond exclusion	122266	122271	[(3, '3')]
1393	Stealing the past from under our feet	122266	122275	[]
1394	Violence in schools: a worldwide affair	122266	122268	[(3, '3')]
1395	We have to change the buyer's attitude	122266	122283	[(16, '16'), (37, '37')]
1396	Afghan women: knowledge and revolt	124272	124250	[(3, '3')]
1397	African scholars: too poor to be free	124272	124277	[]
1398	Anatomy of a corporate takeover	124272	124273	[]
1399	Barbed wire in the research field	124272	124276	[]
1400	Being on alert	124272	124289	[(16, '16')]
1401	The Birth of academic freedom	124272	124281	[(18, '18')]
1402	Bound by nostalgia	124272	124287	[(16, '16')]
1403	A Coastal balancing act	124272	124251	[(3, '3'), (10, '10')]
1404	Context is the watchword	124272	124295	[]
1405	Dilemmas in a tropical paradise	124272	124252	[(3, '3')]
1406	Economic rights: the big comeback	124272	124290	[(3, '3'), (36, '36')]
1407	The End of patriarchy?	124272	124297	[]
1408	Germany: two histories reunited	124272	124256	[(3, '3')]
1409	Getting the spin right on history	124272	124253	[(3, '3'), (13, '13')]
1410	In the line of fire	124272	124285	[(16, '16'), (30, '30')]
1411	In the name of a fair trial	124272	124275	[(16, '16'), (23, '23')]
1412	India: checks in the system	124272	124283	[]
1413	Japan: ambiguous textbooks	124272	124254	[]
1414	Leaving room for dissent	124272	124280	[]
1415	No apologies	124272	124286	[(16, '16')]
1416	One Islam, a mosaic of believers	124272	124293	[(3, '3'), (42, '42')]
1417	Recasting the past in India	124272	124255	[(14, '14')]
1418	The Right to life in Colombia	124272	124291	[(38, '38')]
1419	Surviving the trauma of life	124272	124296	[(3, '3'), (47, '47')]
1420	Tune into the new conscience of Islam	124272	124292	[(3, '3'), (42, '42')]
1421	An Unseen world: how the media portrays the poor	124272	124294	[(3, '3')]
1422	When your university closes down...	124272	124284	[(16, '16')]
1423	Who calls the tune?	124272	124274	[(16, '16'), (21, '21')]
1424	Afghanistan: a difficult return for girls	142021	142024	[(6, '6')]
1425	Back to the future	142021	142061	[(3, '3'), (56, '56')]
1426	Bhaktapur: open-air museum	142021	142071	[(3, '3'), (72, '72')]
1427	Big classes, a threat to standards	142021	142027	[(3, '3'), (10, '10')]
1428	Born to cure a brother or sister	142021	142045	[(36, '36')]
1429	Bridging the North South divide	142021	142065	[(3, '3'), (62, '62')]
1430	A Burst of creativity	142021	142054	[(3, '3'), (48, '48')]
1431	Cape Town: garden wonderland in the midst of urban sprawl	142021	142053	[(3, '3'), (45, '45')]
1432	The Cells of discord	142021	142046	[(3, '3'), (37, '37')]
1433	Coping with emergencies	142021	142067	[(3, '3'), (68, '68')]
1434	Cultural diversity can neither be decreed nor improvised	142021	142058	[(3, '3'), (51, '51')]
1435	Giving science a conscience	142021	142044	[(3, '3'), (34, '34')]
1436	The Global Alliance on all fronts	142021	142055	[(3, '3'), (50, '50')]
1437	The Inuit, first witnesses of climate changes	142021	142051	[(42, '42')]
1438	Key to the future	142021	142023	[(3, '3'), (4, '4')]
1439	Last but not list	142021	142038	[(3, '3'), (22, '22')]
1440	Learning for a better future	142021	142069	[(3, '3'), (71, '71')]
1441	The Mekong: an exception to the rule	142021	142062	[(3, '3'), (58, '58')]
1442	Monitoring the oceans	142021	142031	[(3, '3'), (14, '14')]
1443	More than reading, writing and counting	142021	142030	[(12, '12')]
1444	Natural sites under pressure	142021	142040	[(3, '3'), (24, '24')]
1445	Paraguay and the pirate's song	142021	142043	[(3, '3'), (31, '31')]
1446	Plant pirates in Costa Rica	142021	142048	[(3, '3'), (38, '38')]
1447	Predicting the sea's anger	142021	142032	[(3, '3'), (16, '16')]
1448	Radio Ada, the voice of those without a voice	142021	142066	[(3, '3'), (65, '65')]
1449	The Rebirth of Kunqu Opera	142021	142041	[(3, '3'), (25, '25')]
1450	The Rush for water	142021	142060	[(3, '3'), (54, '54')]
1451	School for girls: creating equal opportunity	142021	142025	[(3, '3'), (7, '7')]
1452	Seeking the right balance	142021	142042	[(3, '3'), (28, '28')]
1453	Selling the air we breathe	142021	142052	[(3, '3'), (44, '44')]
1454	Senegal: coastal zones at the mercy of the waves	142021	142034	[(3, '3'), (18, '18')]
1455	The Success of private schools in Zambia: a dirty secret	142021	142029	[(3, '3'), (11, '11')]
1456	Taking the pulse of the planet	142021	142050	[(3, '3'), (40, '40')]
1457	A Tribute to the past	142021	142037	[(3, '3'), (20, '20')]
1458	Uganda: the price of free school for all	142021	142026	[(3, '3'), (8, '8')]
1459	Water wars and peace	142021	142063	[(3, '3'), (59, '59')]
1460	What atmosphere!	142021	142033	[(3, '3'), (17, '17')]
1461	Education: a priority response	142021	142068	[(3, '3'), (70, '70')]
1462	Afghanistan: in the valley of drought	121920	121935	[]
1463	Beating global warming with nuclear power?	121920	121937	[(3, '3'), (37, '37')]
1464	Beneath the surface of paper states	121920	121924	[]
1465	Bumba: the city where cyclists are heroes	121920	121929	[]
1466	Choi Yul: the greening of Korea	121920	121942	[]
1467	Colombia: a culture built on illegality and force	121920	121926	[]
1468	Fleeing the dot.com era	121920	121941	[(3, '3'), (44, '44')]
1469	Going the cooperative way	121920	121933	[(30, '30')]
1470	Haiti: alone on the hill	121920	121931	[]
1471	A Historical thirst for change	121920	121934	[(31, '31')]
1472	Money rules in Mogadishu	121920	121927	[(16, '16')]
1473	My mother, my mirror	121920	121921	[(3, '3')]
1474	A Profound mistrust of the State	121920	121932	[]
1475	Replacing the plague with cholera	121920	121938	[(39, '39')]
1476	Shinto and shoguns: a return to Itsukushima	121920	121940	[(3, '3'), (41, '41')]
1477	Small reactors are a solution	121920	121939	[]
1478	The State: rising from below?	121920	121925	[(18, '18')]
1479	Staying power: a Russian tale	121920	121923	[(3, '3'), (13, '13')]
1480	Troubled lands where criminals are king	121920	121936	[(16, '16')]
1481	A Unique indigenous process is at work	121920	121928	[]
1482	Where drug firms fear to tread	121920	121922	[(3, '3')]
1483	You're on your own!	121920	121930	[(26, '26')]
1484	Afghanistan chooses to prosper	071148	71138	[(6, '6')]
1485	The Awakening valley	071148	71144	[]
1486	Bolivia lays foundations for economic betterment	071148	71143	[(12, '12')]
1487	A Case of give and take	071148	71146	[(14, '14')]
1488	The Lilliputian harbours of Poona	071148	71145	[(13, '13')]
1489	A Nation transforms its education	071148	71147	[]
1490	New highways in the skies of Iran	071148	71139	[]
1491	Rice, the bread of Asia	071148	71140	[]
1492	"Short-term aid for a long-term policy: technical ""briefing"" brings Yugoslavia up to date"	071148	71142	[]
1493	Technical assistance, a United Nations experiment in pooling world skill and knowledge	071148	71137	[]
1494	Three islands in a sea of sand	071148	71141	[]
1495	The United Nations and national loyalties	071148	71136	[]
1496	Afraid of nothing	191443	191560	[(1, '1'), (2, '2')]
1497	Crime without punishment	191443	191557	[(1, '1'), (2, '2')]
1498	Gender equality: UNESCO's global priority	191443	191564	[(2, '2'), (15, '15')]
1499	A Matter of commitment	191443	191542	[(1, '1'), (2, '2'), (3, '3')]
1500	Rights won, freedom lost	191443	191547	[]
1501	Standing up to tyranny	191443	191562	[(1, '1'), (2, '2')]
1502	Afraid of nothing	192261	192307	[(1, '1'), (3, '3')]
1503	Conquering the job market	192261	192324	[(3, '3'), (36, '36')]
1504	Crime without punishment	192261	192305	[(1, '1'), (3, '3'), (17, '17')]
1505	Davos Forum: women are the future	192261	192328	[(3, '3'), (39, '39')]
1506	Editorial	192261	192298	[(3, '3'), (5, '5'), (46, '46')]
1507	Foresight: youth is our country's wealth	192261	192337	[(52, '52')]
1508	Gender equality: a global public good	192261	192326	[(3, '3'), (37, '37')]
1509	Global champion for women	192261	192299	[(1, '1'), (3, '3'), (7, '7'), (8, '8')]
1510	A Lawyer with a thick skin	192261	192308	[(25, '25')]
1511	Mama Maggy and her 20000 children: a meeting with Maggy Barankitse	192261	192306	[(20, '20')]
1512	Manuela Sáenz: liberator of the liberator	192261	192335	[(48, '48')]
1513	A Matter of commitment	192261	192303	[(1, '1'), (3, '3'), (15, '15')]
1514	Mother Teresa: the most powerful woman in the world	192261	192332	[(3, '3'), (47, '47')]
1515	Now or never	192261	192319	[(3, '3'), (30, '30')]
1516	Putting Kyrgyzstan on the map	192261	192302	[(1, '1'), (3, '3')]
1517	Rights won, freedoms lost	192261	192309	[(1, '1'), (3, '3')]
1518	Slowly but surely	192261	192323	[(1, '1'), (3, '3'), (34, '34'), (36, '36')]
1519	Sowing the seeds of the future	192261	192329	[(3, '3')]
1520	Standing up to tyranny	192261	192321	[(1, '1'), (3, '3')]
1521	Stars in my personal galaxy	192261	192331	[(1, '1'), (3, '3'), (43, '43')]
1522	Tribute to Edouard Glissant	192261	192336	[]
1523	Universal thought: Tagore, Neruda, Césaire, poetry in the service of a new humanism	192261	192338	[(3, '3'), (53, '53')]
1524	Women political leaders	192261	192300	[(3, '3'), (9, '9')]
1525	Africa	078424	60666	[(1, '1'), (3, '3'), (10, '10'), (11, '11'), (12, '12'), (13, '13'), (15, '15'), (41, '41'), (43, '43')]
1526	The Gulf stream of the Pacific	078424	60677	[(3, '3'), (36, '36')]
1527	Masterpieces of ancient Mexico	078424	60676	[(3, '3'), (31, '31'), (43, '43')]
1528	Oceania	078424	60671	[(1, '1'), (3, '3'), (17, '17'), (18, '18'), (43, '43')]
1529	Pre-Columbian America	078424	60673	[(3, '3'), (27, '27'), (28, '28'), (30, '30'), (43, '43')]
1530	The Step to man	078424	60665	[(3, '3'), (4, '4'), (6, '6'), (8, '8'), (39, '39'), (40, '40')]
1531	Africa: a new look from the inside	074760	41095	[(3, '3'), (31, '31')]
1532	Asia: a kaleidoscope of cultures	074760	41096	[(3, '3'), (33, '33')]
1533	Breaking the male stranglehold	074760	41093	[(3, '3'), (28, '28')]
1534	The Invisible woman: a conspiracy of silence conceals and devalues women's essential contributions to economic life	074760	41075	[(3, '3')]
1535	Latin America: a twofold servitude?	074760	41098	[(3, '3'), (34, '34')]
1536	Male chauvinism in the mass media	074760	41078	[(3, '3'), (20, '20')]
1537	The Plight of the woman-breadwinner	074760	41076	[(3, '3')]
1538	Women and apartheid: black South African women stand on the lowest rung of the ladder of oppression	074760	41077	[(3, '3'), (13, '13')]
1539	Women in Soviet society today	074760	41092	[(3, '3')]
1540	Women speak	074760	41164	[(3, '3'), (19, '19')]
1541	Yardsticks of social status	074760	41099	[(3, '3'), (6, '6')]
1542	Africa: cell phones for citizenship	119966	120006	[]
1543	Betty Friedan: debunking the mystique of politics	119966	119997	[(16, '16'), (35, '35')]
1544	Closing ranks	119966	119998	[]
1545	Diving for dollars	119966	120004	[(1, '1'), (2, '2')]
1546	Doing it their own way	119966	119976	[(2, '2')]
1547	Emancipation under the veils	119966	119985	[(16, '16')]
1548	European disunity	119966	119977	[]
1549	For a fair sharing of time	119966	119991	[(16, '16')]
1550	Gypsies: trapped on the fringes of Europe	119966	120000	[]
1551	India's nurseries of politics	119966	119995	[]
1552	Internet to the rescue of democracy?	119966	120005	[(1, '1')]
1553	The Magic of the mirror	119966	119967	[(1, '1'), (3, '3')]
1554	Margarita Salas: knowledge to dispel fear	119966	120007	[]
1555	The Miracle of the Rhine	119966	119975	[(1, '1')]
1556	No progress without a secular society	119966	119980	[]
1557	One battle after another	119966	119981	[(16, '16'), (18, '18')]
1558	Peru: skewed planning	119966	119989	[]
1559	A Roma ghetto in Florence	119966	120051	[(40, '40')]
1560	South Africa: a strategic ascent	119966	119983	[]
1561	South Korea's campaign school	119966	119996	[]
1562	Sweden: court battles for equal pay	119966	119987	[]
1563	Unfinished democracy	119966	119993	[]
1564	A Woman in the lion's den	119966	119994	[(16, '16')]
1565	Africa: disturbing trends	086203	86190	[(3, '3'), (15, '15')]
1566	Asia and the Pacific: responding to the challenge	086203	86191	[(3, '3')]
1567	Cold fusion: a storm in a test-tube?	086203	86200	[(46, '46')]
1568	From rhetoric to reality	086203	86187	[(3, '3'), (10, '10')]
1569	The Gender gap	086203	86194	[(3, '3'), (24, '24')]
1570	The Industrialized countries: questions and answers	086203	86192	[(3, '3'), (16, '16')]
1571	Interview (with) Sergei S. Averintsev; a sense of decency	086203	86186	[]
1572	Latin America: illiteracy, democracy and development	086203	86189	[(3, '3'), (14, '14')]
1573	The Mind transformed	086203	86193	[(3, '3'), (21, '21')]
1574	National languages and mother tongues	086203	86195	[(3, '3'), (27, '27'), (29, '29')]
1575	The New illiterates	086203	86199	[(3, '3'), (42, '42'), (45, '45')]
1576	The PC and the 3 Rs	086203	86197	[(3, '3'), (33, '33')]
1577	The Road to reading	086203	86198	[(3, '3'), (37, '37')]
1578	Science for decision-makers: the International Federation of Institutes for Advanced Study	086203	86201	[(3, '3'), (48, '48')]
1579	UNESCO and International Literacy Year	086203	86202	[(3, '3'), (50, '50')]
1580	Waste	086203	86196	[(2, '2'), (3, '3'), (7, '7'), (12, '12'), (15, '15'), (16, '16'), (19, '19'), (20, '20'), (21, '21'), (28, '28'), (30, '30'), (38, '38'), (41, '41'), (43, '43'), (47, '47')]
1581	World literacy: where we stand today	086203	86188	[(3, '3'), (13, '13')]
1582	Africa: learning to manage the desert	096900	96896	[(3, '3'), (40, '40')]
1583	The Call of the wilderness	096900	96880	[(3, '3'), (12, '12')]
1584	The Dry lands	096900	96879	[(3, '3'), (10, '10'), (40, '40')]
1585	Hidden waters	096900	96894	[(3, '3'), (30, '30'), (32, '32'), (33, '33')]
1586	A Long look at the world's arid lands: UNESCO's pioneering work in arid zone research, begun over 40 years ago, was the starting point for a continuing effort to mobilize science in the cause of the global environment	096900	96895	[]
1587	A Painter's paradise: the desert's abrupt changes of colour, light and mood cast a powerful spell on artists	096900	96889	[]
1588	A Place of trials	096900	96882	[(3, '3'), (16, '16')]
1589	The Price of peace	096900	96897	[(42, '42')]
1590	Protecting the world's wetlands	096900	96893	[]
1591	Rabindranath Tagore: a greater awareness of truth	096900	96898	[]
1592	Screenplays in the sand: the desert has played a dramatic role in the history of the cinema	096900	96890	[]
1593	The Stone age temples of Malta	096900	96899	[(3, '3')]
1594	Théodore Monod talks to Michel Batisse	096900	96876	[]
1595	Africa: lines of descent	083386	83363	[(3, '3')]
1596	Africa's 'wonder weed'	083386	83385	[(3, '3'), (48, '48')]
1597	Ancient China: the empire of the ancestors	083386	83362	[(3, '3')]
1598	The Changing Japanese family: under new management	083386	83364	[(3, '3')]
1599	Europe: Marina, Sarah, Michel and Jean	083386	83365	[(3, '3')]
1600	Hearth, home and rural community	083386	83361	[(3, '3')]
1601	Interview with Jorge Amado: where peoples and cultures have mingled	083386	83360	[(3, '3')]
1602	Latin America: the women of Arembepe	083386	83366	[(3, '3')]
1603	The Middle East and North Africa: the future of the family	083386	83388	[(3, '3'), (25, '25')]
1604	Our home is your home': a visit to an Uzbek family	083386	83384	[(3, '3')]
1605	Quebec: new family structures	083386	83383	[(3, '3')]
1606	Africa: the breath of life	111114	111115	[(3, '3'), (6, '6')]
1607	Africa and the world	111114	111122	[(38, '38')]
1608	China: a down-to-earth hereafter	111114	111116	[(3, '3'), (10, '10')]
1609	Healthy housing	111114	111123	[(1, '1'), (3, '3'), (40, '40')]
1610	India: cycles of birth and rebirth	111114	111117	[(3, '3'), (14, '14')]
1611	Interview with Paulo Coelho	111114	111121	[(1, '1')]
1612	Living to tell the tale	111114	111120	[(3, '3'), (29, '29')]
1613	A Materialist vision of the afterlife	111114	111119	[(3, '3'), (25, '25')]
1614	Mediaeval Europe: the antechamber of eternity	111114	111118	[]
1615	The Nazca mystery	111114	111124	[]
1616	Ton-That Tiêt talks to Isabelle Leymarie	111114	111125	[(3, '3')]
1617	Words for music	111114	111126	[(3, '3'), (50, '50')]
1618	Africa: the changing scene	074691	53934	[(3, '3'), (12, '12')]
1619	China: the symbolic language of Beijing opera	074691	53949	[(3, '3'), (38, '38')]
1620	Egypt: the shadow and the substance	074691	53937	[(3, '3'), (21, '21')]
1621	Europe: who's afraid of the avant-garde?	074691	53932	[(3, '3'), (7, '7')]
1622	Finland: women in the limelight	074691	53948	[(3, '3'), (36, '36')]
1623	Haiti: the awakening of Creole consciousness	074691	53936	[(3, '3'), (18, '18')]
1624	India: the gift of the gods	074691	53940	[(3, '3'), (30, '30')]
1625	Japan: Noh and Kabuki, the beauty of form	074691	53935	[(3, '3'), (15, '15')]
1626	Latin America: a theatre of urgency	074691	53931	[(3, '3'), (4, '4')]
1627	The 'Paddy-field' puppets of Vietnam	074691	53947	[(3, '3'), (35, '35')]
1628	Shared disillusion	074691	53933	[(3, '3'), (11, '11')]
1629	Soviet Union: the theatre of the market-place	074691	53938	[(3, '3'), (22, '22')]
1630	Spain: curtain up on Catalonia	074691	53944	[(3, '3'), (32, '32')]
1631	Thailand: the theatre of kings	074691	53953	[(3, '3'), (44, '44')]
1632	United States: alternative theatre	074691	53952	[(3, '3')]
1633	Yugoslavia: the Belgrade International Theatre Festival	074691	53939	[(3, '3'), (29, '29')]
1634	Africa: the healer's art	093670	93664	[(3, '3'), (30, '30')]
1635	The Ajasé complex	093670	93663	[]
1636	Freud and Freudianism	093670	93660	[(3, '3'), (10, '10')]
1637	Greenwatch: the right to clean air	093670	93669	[]
1638	The Hidden I	093670	93659	[(3, '3'), (52, '52')]
1639	"How to say ""I"""	093670	93662	[]
1640	The Inner adventure	093670	93661	[(3, '3'), (14, '14')]
1641	A Letter from Freud to Einstein: why war?	093670	93658	[]
1642	Psychoanalysis in Quebec	093670	93667	[(3, '3'), (40, '40')]
1643	Russia: the revenge of subjectivity	093670	93666	[(3, '3'), (36, '36')]
1644	The Talking cure	093670	93665	[(3, '3'), (34, '34')]
1645	War and peace in the minds of men, commentary	093670	93668	[]
1646	Africa: the hunger belt	074679	58772	[(3, '3'), (20, '20')]
1647	Children in peril	074679	58769	[(3, '3'), (12, '12')]
1648	Food first; a down-to-earth approach to nutrition and rural development	074679	58771	[]
1649	Food for a hungry world	074679	58767	[(3, '3')]
1650	Ill fares the land; have we reached the end of a growth era in world food output?	074679	58768	[]
1651	Interdependence; 'Nationalism provides too narrow a focus for overcoming poverty and hunger'	074679	58775	[(3, '3'), (25, '25')]
1652	Malnutrition's tragic toll	074679	58770	[(3, '3')]
1653	Seeds of plenty: the promise of biotechnology	074679	58773	[(3, '3')]
1654	UNESCO and nutrition education	074679	58776	[(29, '29')]
1655	War, hunger, poverty	074679	58777	[(3, '3'), (32, '32')]
1656	Where do we stand in the war on hunger?	074679	58766	[(3, '3'), (4, '4')]
1657	Africa: the images that must not fade	060718	60720	[(3, '3')]
1658	Birth of a notion	060718	60736	[(3, '3'), (27, '27')]
1659	Cine qua non: an ABC of film preservation	060718	60734	[(3, '3')]
1660	Cuba: a people in its pictures	060718	60733	[(3, '3')]
1661	Egypt's national film archive	060718	60721	[(3, '3'), (9, '9')]
1662	The Electronic alternative	060718	60723	[(3, '3'), (12, '12')]
1663	The Fragile art of film	060718	60719	[(3, '3'), (4, '4')]
1664	The Gosfilmofond of Moscow	060718	60737	[(3, '3'), (5, '5'), (30, '30')]
1665	India: it's never too late	060718	60729	[(3, '3'), (22, '22')]
1666	The International Federation of Film Archives	060718	60740	[(3, '3'), (9, '9'), (17, '17'), (28, '28'), (30, '30'), (32, '32'), (34, '34')]
1667	Napoleon makes a come-back; a rediscovered epic of the silent screen	060718	60724	[(3, '3')]
1668	The Nitrate ultimatum	060718	60722	[(3, '3'), (10, '10')]
1669	Switzerland: a living film archive	060718	60735	[(3, '3')]
1670	Thailand: when the camera was king	060718	60730	[(3, '3')]
1671	UNESCO and the preservation of moving images	060718	60739	[(3, '3')]
1672	The Video grapevine	060718	60728	[(3, '3'), (20, '20')]
1673	Wanted: the search is on for the world's missing films	060718	60727	[(3, '3'), (17, '17')]
1674	Africa: the power of speech	095092	95059	[(3, '3'), (20, '20')]
1675	André Brink talks to Bahgat Elnadi and Adel Rifaat	095092	95055	[(4, '4')]
1676	The Baby and the saint	095092	95056	[(3, '3'), (10, '10')]
1677	Books of the world	095092	187144	[(3, '3')]
1678	Hands that speak volumes	095092	95062	[(3, '3'), (34, '34')]
1679	The Heartbeat of day and night	095092	95057	[(14, '14')]
1680	Human rights are universal: commentary	095092	95064	[]
1681	A Ligue of minds	095092	187142	[]
1682	Meaningful gestures	095092	95061	[(31, '31')]
1683	Reaching the general conscience	095092	187143	[(3, '3'), (45, '45')]
1684	Saving the Mediterranean	095092	95060	[]
1685	Testing times	095092	95063	[(3, '3'), (38, '38')]
1686	Marcel Jousse, theorist of gesture	095092	95058	[(3, '3'), (19, '19')]
1687	Africa 1967: independent States	078226	5112	[]
1688	African architecture old and new	078226	4290	[(3, '3'), (14, '14')]
1689	Birth of a new Africa	078226	2297	[(3, '3'), (4, '4'), (35, '35')]
1690	The Protection of Africa's artistic heritage	078226	4581	[(3, '3'), (17, '17')]
1691	The Scientific study of Africa's history	078226	3345	[(3, '3'), (9, '9')]
